kevad,405
võim,357
Soome,1480
päikeseline,92
kevadpäev,11
Airistoni,1
Airiston,5
kaasus,4
seotud,318
siduma,375
kodanik,212
vaht,94
alla,1496
pühapäev,644
ähvardama,470
Pokemon,12
Go,44
tegemine,215
vangla,211
soe,812
Kuulutus,935
kevadilm,50
29.,139
november,626
riik,1912
vahetama,373
ID-kaart,183
tootja,145
kohv,149
tasuma,829
varsti,165
puu,683
otsast,3
korjama,101
vihmahoog,76
Dvinjaninov,5
vaataja,89
ealine,4
iseärasus,4
karikatuur,835
valik,238
aeg,2064
politsei,1505
merevaade,12
nautleja,3
Helmi,8
sõitma,1200
läbiotsimine,9
ise,3041
liiv,56
kinni,781
Sõjamäng,2
Call,3
of,46
Duty,3
WWII,2
lekkima,73
Faehlmann,1
rohkem,1333
»,5255
kui,5421
Vanemuine,138
madal,137
teine,1804
enesehinnang,9
sõel,15
lava,403
mõnusalt,26
kevadine,169
Helin,1
In,27
Haga,2
memoriam,15
OPEC,4
Endel,18
Taniloo,4
lennutama,64
demokraatlik,15
kütusehind,38
kool,999
õpetama,402
kõrgus,78
mäng,742
kaudu,125
tegelik,79
põhjus,1086
miks,2805
investor,106
Tesla,222
küll,330
konn,80
massiline,30
kevadränne,8
konnatalgud,8
bussijuht,78
varastamiskomme,1
kiire,305
lõpp,786
lihv,10
saav,22
Uber,212
Uberi,121
eelnõu,122
meeldima,225
nüüdne,97
osapool,20
Iain,2
Boy,2
Boyd,1
USA,2186
Venemaa,1303
animatsioon,14
Hiina,943
arendama,107
üksteise,85
tõusev,43
võit,1008
meretase,6
ülehelikiirus,9
relv,129
otsima,1672
uppuma,128
15aastane,58
lagle,4
suusaveteran,1
võistlema,235
jooksma,323
õliühing,2
Norra,275
uuesti,207
asenduskodu,12
mari,113
mets,665
mõõt,109
ülitähtis,8
Suv,3
Suvi,7
surema,1025
skulptor,13
grillima,22
turvaliselt,27
?,15304
prokuratuur,141
Martin,368
Helme,404
hülgekori,1
ähvardamine,16
jätma,1384
keskkonnaametnik,5
ükskõikne,7
kuritegu,84
Jüri,518
Ratas,339
tutvustama,362
1911.,1
rahakott,89
kiri,373
Ülikool,169
lisapilet,1
müüma,842
paar,448
tund,453
lõunatuul,4
hoidma,987
plusskraad,48
pilv,159
tabatud,52
tabama,819
linn,1296
sügis,421
kutsuma,1373
suurpere,50
Ahhaa,12
juhtkiri,1546
jõulupidu,23
jõulupeo,13
vähe,131
jälg,145
vene,391
reisisari,1
näitama,1346
polaarmatkaja,1
ahvatlus,5
tõmbama,400
piires,9
reis,335
mitu,897
joon,88
nägu,374
alates,88
reede,769
öö,329
põllumajandus,82
tippjuht,83
e-protest,1
2019,240
Margus,164
vastu,1991
Muld,6
gaas,64
tarbiv,2
Jaadla,9
Bukarest,4
"""",1896
tulevane,137
eksperiment,92
aktsiisisoodustus,2
.,2217
lõunasöök,12
piirkond,189
1,177
avaldama,834
noor,2196
kliimaprotest,4
toetus,851
andur,6
see,5870
tõesti,254
kaks,2568
võimalik,454
korral,231
märk,526
vara,140
suletud,119
sulgema,560
siiber,14
Päike,24
Päikes,24
Päikene,24
jaguma,136
küüditamisraamat,1
ent,120
materdama,6
saanud,781
tööõnnetuskindlustus,4
maatasa,22
tõeline,419
menuk,6
hr,4
virulane,11
28.,159
kandideerima,436
silmapaistev,38
riigieelarve,97
tiitel,447
ju,68
ootamatu,309
!,7023
söögitoru,4
sattunud,177
sattuma,623
näpuvurr,11
patarei,9
pisipoiss,21
surmauni,1
viima,1335
ülemaailmne,73
tuberkuloosipäev,3
nii,1612
tema,2350
ütlema,377
kuid,733
jahedavõitu,4
Janno,20
Zõbin,5
geopoliitiline,7
PRIA,87
esitama,550
tähtaegselt,1
võimumäng,1
patrullkäik,1
kalastuskoht,2
loomatoetus,5
Karlova,30
Ida-Euroobas,21
taotlus,79
loomasõber,60
Liit,270
vinni,8
Kuressaare,595
3152,1
mure,369
Ida-Euroopa,23
gümnaasium,196
klient,444
valla,73
looma,1155
oluline,635
sidrunipuu,1
kas,3909
alternatiiv,76
kõrgem,122
jõululinn,1
varjutama,29
rattaralli,31
Puerto,11
vallavanem,202
koliv,5
Rico,11
põhiline,24
siiditee,7
iluduskuninganna,7
vili,112
projekt,171
küsitav,13
kana,94
tegevus,347
sari,257
Türi,299
laskma,795
hooaeg,892
täna,1927
mõrv,104
tellimine,28
saluut,6
etapp,418
välistingimus,2
pakkuma,1241
hulk,267
trell,54
põnevus,59
taha,200
mis,9510
maksma,1143
Europarlament,38
taksosõit,14
valimine,939
osalema,497
mujal,62
jõudma,2025
unikaalne,66
Elurikkus,18
jätkama,635
herbaarium,1
Erakond,59
rekordiline,141
Postimehe,881
kihutaja,38
tõus,192
Test,11
luup,122
öelnud,22
kümme,867
kalur,80
jääma,3333
avarii,227
Peipsi,239
ummistama,24
Riia,277
tänav,863
lõks,129
kilkav,1
tõttu,1305
keelama,448
väikelinn,72
batuut,16
uuring,1535
pool,976
avama,2426
sõit,209
julgema,107
pealt,127
Ben,12
vomm,1
maalinäitus,7
rahvakultuur,5
keskus,303
pettunud,65
pettuma,71
tunnustama,360
euroliit,41
Järvamaa,424
asuma,798
pärand,40
Pitt,19
võitlus,254
kandja,19
hodomeeter,1
tekkima,393
pettus,98
DiCaprio,19
hoidja,19
üha,353
Tarantino,30
Hollywoodi-film,1
postr,5
postri,5
rämps,13
Aarne,73
kahtlane,96
Seppel,27
kilekott,54
ist,4
Paide,374
puud,84
linnameeskond,130
valima,1344
abijõud,2
kreml,33
ELU24,98
sanktsioon,126
puhul,370
Videolugu,12
üleskutse,230
nord,14
Kaidi,12
Stream,24
konnapäästja,3
seas,287
2,631
Kivioja,9
alustama,1194
seadma,266
kõige,2483
tartlane,138
rahastama,49
väga,1352
tuntum,15
võistlushooaeg,2
ämber,22
kift,1
valmis,594
MK-etapp,140
e,117
Austraalia,431
heiskama,78
pood,400
ehk,631
EKI,95
keelekool,94
väärtus,245
lipp,190
mina,4075
Laupäevane,71
Laupäevas,71
Laupäevase,71
tade,1
Järva,537
põline,13
Teataja,468
rajuma,1
tutvustus,217
trupp,9
kolmapäev,291
tantsutüdruk,11
poja,163
poeg,337
Reinsalu,183
napsusõber,2
kaotanud,194
Marina,41
rõhuala,2
Kaljurand,37
avantüür,4
moodne,124
piir,539
raport,131
lõppema,651
palju,1670
suutma,490
küsimus,640
nüüd,702
rääkima,918
ilma,635
nutma,72
lahtine,140
Edward,126
Lucas,106
populist,12
tagasilöök,39
kuulutus,863
23.,162
märts,435
asjatundja,88
soovitama,549
milline,2119
alkoholivaba,12
õlu,147
sobima,256
päris,158
asendama,115
10,973
lumevaene,2
talv,437
50,515
veekogu,51
janu,14
tagasi,1718
pilt,2098
plaanima,564
lina,15
Lõuna-Saaremaale,1
nakkushaigla,4
kasutus,154
otsa,302
äri,136
popp,37
elanik,526
lõpuks,345
tootmishoone,20
parim,2176
kompleks,14
toiduaine,124
Kylie,27
konkurss,390
Jenner,32
avalikustama,225
võitja,383
kuiv,151
peale,830
päikesepaisteline,24
küsima,1213
herilasepiht,1
herilasepihk,1
raske,552
asi,1424
tohtima,715
alaealine,97
töö,1590
tõstma,534
100,456
punkt,296
ületanud,45
ületama,271
Kalev,456
/,270
Cramo,131
ostmine,187
kodu,3150
hoogsamalt,6
Valgevene,105
laenama,35
esiklubi,7
paik,343
Vähi,30
Lugejate,1
võitlev,29
Kiri,2
pereema,73
vabatahtlik,191
Kirjad,1
kestma,205
paluma,390
Kirja,1
abi,802
õpilane,391
järgmine,714
nõrk,75
;,8
mekkima,27
kuus,750
Karl,93
Robert,192
vangistus,93
päevik,77
Saaremäe,21
totaalne,38
muutumine,63
Saaremägi,4
lemmikroog,3
sina,2493
Läti,827
ostetud,64
ostma,997
õllepudel,8
taaraautomaat,4
jaoks,418
tasu,865
tee,1499
õigusabi,36
hukka,39
söödav,21
pidama,4850
laulja,170
seoses,136
enam,1111
rahapesujuhtum,2
metskits,77
Lääne-Viru,64
lauatennisist,10
stuudio,88
rühkima,15
end,144
pesu,55
Joonatan,4
sekka,113
väele,3
Nõgisto,7
kadunud,419
kõrgharidus,64
kaduma,939
alarahastamine,2
Lagle,7
poliitiline,206
prioriteet,31
võtnud,101
Madli,18
Vilsar,15
silm,724
paistma,196
jalgrattamuuseum,9
tagahoov,8
ohtlik,626
vaid,1134
või,1598
enesekindlam,6
mood,214
kasulik,292
õllevabrik,2
jutuõhtu,1
eksport,67
Kasahstan,31
edelatuul,4
kuuuurija,138
Indrek,213
Lepik,28
politseinik,316
Rakvere,890
suusatamine,20
Võrkpalliklubi,54
noortesari,9
eeskuju,142
lõpetama,1012
võõrustama,122
varjama,158
varjatud,75
õhukeselt,1
poolfinaal,184
põllumajandusamet,28
Bigbank,35
rapsipõld,9
kütusefirma,7
karm,252
hinnang,121
Peedu,2
pais,20
parandama,245
suur,2974
tänavavalgustus,23
ait,55
5aastane,20
tüdruk,415
loobuma,481
paberkandja,3
dokumendifoto,2
tasapisi,40
vastuvõtmine,26
soojenema,25
kurkum,3
üles,637
trennitegemine,1
Jõgeva,123
kaisukaru,13
vanaema,159
hiid,16
Miljardieurone,1
millal,309
avatud,379
Rim,47
luga,110
Rimi,69
supermarket,32
luba,163
Eestimaa,131
termomeetrinäit,9
alkohol,355
tagasihoidlik,54
vanamuusikapäev,2
alt,193
kinoõhtu,81
kanal,498
tuhandeaastane,3
muusikapärand,1
1944.,14
põhjakaar,3
põlastusväärne,1
tuul,550
punt,8
pahalasi,2
jahedus,24
naisteenistuja,1
nutijoove,2
liiklus,379
rindemees,2
nelja-aastane,28
varrukavapp,1
Suitsiidisalk,1
plastpudel,13
keeld,99
tapma,525
Jonathan,6
tikkima,7
Ranar,2
jätkuvalt,182
Powell,1
ekstreemne,24
lühiajaline,22
tänu,153
oluliselt,162
külmalaine,35
klaverikontsert,3
apokalüpsis,4
päästma,1008
paremini,240
Georg,98
hingama,41
makse,22
Clooney,11
viipekaart,7
kuninglik,148
põngerjas,4
mõistma,433
röövima,137
sünnipäev,546
film,1017
psühholoogiline,21
draama,74
Skandinaavia,39
vaikus,38
lööma,1004
keset,148
soojalaine,23
süüdi,211
talvine,213
keskkond,89
maastik,44
kahju,219
lõke,85
kahi,161
Eesti200,2
pensioniplaan,8
tekitamine,6
lahendamata,12
temperatuur,97
eelarvemäng,1
kõikumine,8
utoopiline,6
minevik,113
valitsusliit,20
teadlane,1462
mõjuma,170
ametnik,224
toidurassism,13
teema,220
mõjunud,6
selgitama,631
teekate,16
laastavalt,8
Seefeld,16
ehitusbuum,4
Seefelt,15
harjumus,149
rendifirma,1
arhitekt,71
Seefeldi,17
võimas,408
MM,628
kasum,194
keskmine,275
lõppakord,11
taim,240
loeng,102
koloniseerima,4
maismaa,12
järjekordne,324
kuld,219
päikesepaistelisem,4
tõkkepuu,14
kallim,392
inimelu,105
MTA,46
esipoiss,1
Barron,1
Trump,401
tuludeklaratsioon,31
pärastlõuna,33
tugevnema,23
ametlikult,61
teismeline,190
meeter,144
sekund,145
Bolšunovile,1
neljas,235
(,299
),297
hõbe,113
kaamera,153
hülgepere,1
Jack,26
suurenemine,9
Daniel,87
’,269
si,33
Tiik,6
Tiig,4
viski,22
Tiigi,4
büroohoone,11
ehitus,265
oma,4724
komisjon,202
rakendus,74
tulevik,684
pärast,1605
määrama,163
hoiatama,710
elukas,19
jalg,312
lisaaine,3
kopsakas,114
juhtima,417
prügitrahv,2
kasutama,834
peekon,10
vorst,16
karastusjook,11
laisk,35
ning,758
aeglustama,22
ainevahetus,19
soetama,145
nulleuro,1
rahvusvaheline,510
veepäev,4
piltuudis,694
Mattias,37
Naan,18
Naani,3
puhkusepilt,16
sombune,30
soojapoolne,4
talveilm,94
Jürgenstein,11
valus,136
tahtma,1880
kaitse,237
kuhugi,30
vesi,647
vajama,930
selline,368
kaitsja,64
puhkus,230
kaitsev,16
kaup,156
maa,987
Meghan,242
pinge,94
komöödiaõhtu,6
muudkui,18
tõusmine,9
talveväsimus,3
kasvama,854
kimbutama,150
ilmaolu,54
Archie,9
kass,1055
järgi,235
tervislik,188
snäkk,15
üritama,288
pöörane,126
sama,345
sõpruskond,8
isa,449
vutimees,19
varustama,19
leppima,132
maksustama,20
koheselt,9
maksustanud,1
juba,1262
energia,175
ligemale,38
Tammekas,31
Tammeka,79
õlletootja,16
Toomemäele,2
hääl,491
pornosõltuvus,2
võitlema,384
võidelnud,28
vaim,61
19aastane,34
otsakorral,10
Entourage,1
terve,436
jumal,94
Saatjaskond,1
Hollywood,172
kauaoodatud,73
kevadpealinn,18
rohelus,15
tungima,132
horoskoop,273
19.03,3
Voldemar,16
Artur,136
Kuslap,9
finantsinspektsioon,31
Kuslapi,3
SpaceXi,13
kosmosekapsel,6
põkkuma,10
Haljala,69
Maria,91
Troon,78
edukalt,103
Listra,4
Trooni,78
7,414
Troonide,99
toit,856
kohvitops,12
kandidaat,474
kunagi,389
Wall,4
külmutama,36
Street,20
seriaal,51
Journal,1
filmiapsakas,1
Adidas,12
tipphetk,398
lekitama,16
Bezos,15
E-Piim,9
remont,239
Nike,18
Harden,29
börs,267
Bezose,4
Hardeni,8
intiimsõnum,1
uskumatu,337
kinnitus,72
27.,158
suurtehas,6
rahvaluulepreemia,1
edenema,40
seeria,87
rahastus,27
jätkuma,556
imelihtne,34
favoriit,25
nipp,1029
väike,890
Maarja,81
öökülm,40
minut,273
näonahk,31
taasiseseisvumine,12
jooksul,298
pöörduma,172
libedus,200
tähistama,936
saadud,75
kõnekoosolek,5
katseprojekt,6
trauma,20
haigla,667
Kaitseväelane,1
Rutja,6
rahvariie,15
Briti,499
Neljapäevas,73
kinnistuomanik,4
pildistama,58
lõhkama,9
töömesilane,4
lennuväli,58
Neljapäevase,73
tuulutamine,4
lahe,47
metsaoksjon,2
Neljapäevane,73
Britt,502
Naissaar,14
reaktsioon,40
kohustama,10
tsitaat,27
Tallinn,4342
Brit,505
Armin,8
kohustatud,3
sadam,276
Kõomäe,1
komöödialegend,2
raamat,593
Freddie,12
jagama,834
Starr,3
maitsma,64
Lui,2
maitsema,46
puhastama,108
Vutoon,1
välispublik,1
botaanikaaed,29
Hispaania,390
mesi,109
Stephen,36
leitud,269
mürsk,34
surnud,373
king,63
Talve-Murumoor,1
festival,623
Võnge,4
Lemmikloomasurnuaid,3
Pärnumaa,524
täiendama,71
Altjale,1
tõstja,13
vapimärk,17
kavaler,16
päevasoe,5
rida,172
uusversioon,8
napilt,152
purustama,166
12aastane,28
rekord,455
5,791
Võrumaa,247
kinorestoran,1
kaaslane,154
uks,572
enne,1005
eurotiim,2
ühine,206
pink,68
tarvis,54
nappima,84
motojõuluvana,1
etteaste,27
kuhu,695
lahendama,232
rõõmustama,125
lasteküla,4
lörtsisadu,33
probleem,452
kääbas,6
Neljapäev,193
eurokoht,2
unistav,5
kohvikutepäev,19
Atalanta,3
Fiorentina,4
selg,258
prügine,9
21.,194
rongkäik,72
laulupäev,6
Mäo,17
ökofarm,1
tantsuõhtu,3
raadiosaade,42
beebibuum,9
jalgpall,233
klubi,307
Rimski-Korsakov,3
teater,449
au,143
pärnakas,141
odav,180
mm,138
infotahvel,8
pälvima,459
tööjõud,31
Eduard,25
süda,572
Wiiralt,11
mõnus,98
kasvatama,355
nappus,28
stipendium,102
nõudlus,36
meelitama,288
liulaskja,1
väsimatu,10
teler,57
vallimägi,10
järele,315
mesinik,47
robot,172
vastlakukkel,18
restoran,207
väärikalt,24
Lasnamäe,149
lastekeskus,1
sahin,12
jõulukink,56
täiendus,39
nõmm,89
all,730
õige,372
vähem,450
kulutama,164
ekspertiis,10
eestimaalane,69
kukkuma,672
kährik,19
jaanipäev,97
Waldchnep,2
kaev,55
OÜ,42
tähistamine,56
jõulumatkaline,1
külastama,495
soomlane,253
prügikast,76
huvitav,272
sarisüütaja,5
Ida-Virumaa,447
tapetud,37
pistma,102
töökoht,255
lauljatar,66
16aastane,41
tuli,291
Rebecca,4
Kontus,2
põlema,570
helilooja,53
konteiner,15
Tele2,102
langetama,153
mereilmateade,1
teenustasu,8
leppetrahv,5
Ristna,2
andmed,207
Rasmus,72
päästeamet,266
puur,43
Üllar,23
kaardirakendus,19
kirjutama,297
ema,770
uurima,488
amuuri,15
kantaat,3
leopard,50
unustamatu,25
Darlal,1
Edith,6
sündima,655
Piafi,2
Piaf,3
laul,437
jääleminek,8
ohtlikkus,11
kontrollima,263
alistama,398
juurde,466
Pärnu,1816
veebipood,63
kohtuma,460
trikitama,17
tiitlikaitsja,73
kätte,109
toimetamine,10
valgusfoor,14
parandustöö,4
helkur,23
kaasnema,51
püstitama,230
meesprostituut,1
naine,3261
Teisipäev,197
liikluspiirang,75
tänane,1311
veider,192
publikurekord,16
1.,273
jaanuar,410
summ,108
pere,792
suurim,1189
summa,158
ettevõtluskonkurss,6
tõenäolisemalt,9
rattur,124
seitse,522
sebra,19
annelinn,17
kolmas,550
prantsuse,252
Kellogg,1
suursaadik,89
salmonella,7
tõrv,142
esindaja,99
hirmus,75
veiniaasta,1
võidutsema,111
loodus,334
hommikuhelves,3
andekas,62
tv,449
puhkpillinoor,1
viimati,24
Saks,257
Vihula,19
Saksa,252
mõis,180
doktoritöö,80
kõlama,194
Cagliari,68
šokeerima,47
kirev,61
meri,322
kuum,414
ERM,137
kaunis,431
reostatus,1
kontsert,460
Rosalya,1
Milaano,3
pesema,159
romantiline,91
Osale,14
koolimaja,73
Interi,10
lähedal,213
Beckham,46
tuvastama,161
Inter,10
kala,330
luusima,19
Beckhami,18
Tants,5
maks,176
karu,340
värvus,21
Pariis,284
abil,380
semmima,3
köök,303
torutöö,11
toodetud,20
Viiber,10
ihkama,66
linnurikkaim,5
piirama,209
Rootsi,585
vaba,274
tootma,181
hing,170
Bretagne,3
Odolena,1
enamteeniv,1
hinge,69
pudel,60
väljaselgitamine,4
Voda,1
hiidrott,1
liikuma,372
näitlejatar,21
maja,1252
tants,143
esikaheksa,4
klipisaade,5
Hensugusta,35
16,154
show,58
kraad,341
pühadejärgne,2
seis,152
nummipall,1
6,290
Trans,50
sündinud,139
mälestuspäev,18
inimloom,1
loom,780
ümmargune,20
arv,600
Tamm,134
jahimees,163
Tamme,57
varjupaik,278
partner,145
teenimine,10
eesmärk,185
suhe,362
staadion,107
erakordne,126
tüdinud,13
ainus,168
väravatesadu,5
roosinupuke,5
metsseanorm,1
tüdima,13
kaos,84
teeolu,105
küttima,112
just,430
muutlik,63
veri,156
ihaldama,23
lill,99
seksikas,113
Tark,17
Targa,7
viktoriin,19
plekimõlkimine,11
jõuluaeg,40
Emotsionaalne,4
kohta,953
Rikberg,5
võidupunkt,19
kinokülastaja,3
levima,457
toonud,87
pulk,15
hoovihm,144
pank,395
ida,171
kohtingurakendus,12
kasutamine,327
laen,120
piinlikkus,7
mürgistusennetus,4
õitsemine,13
sest,211
jäädvustama,105
BBC,28
kinnisvara,189
ajakirjanik,229
jäädvustanud,1
allaneelatud,5
mooniselfitaja,1
tekitama,745
hülgepoeg,35
lause,26
mooniõudus,1
koer,1742
beebi,216
iseseisev,21
kõrval,122
ohustama,309
Narva,1187
rassistlik,35
väikelaps,106
solvamine,11
lahti,334
Põltsamaa,68
idapoolseim,2
20.03,3
ilmajaam,104
supluskoht,23
lubatud,101
lubatu,101
soolebakter,9
liha,136
võrkpall,60
irvhammas,3
matkama,32
küberturvaja,1
suusataja,67
kaitsma,405
pihta,102
mürgine,91
ühend,21
kaitsema,165
häkker,99
lasila,5
abielu,137
vahtraallee,1
ajalugu,1033
kari,27
uuendus,82
päkapikk,28
Justin,41
kiskuma,109
Bieber,31
Bieberi,9
abikaasa,156
esmaspäev,294
abiellumine,22
uurimistöö,16
lahutusadvokaat,3
Skibidi-ya-pa-pa,1
reivibänd,1
Tornaadod,2
Tornaado,2
Little,12
nõudma,794
kodutunne,120
Big,16
Kesklinn,71
Memento,7
parkimismaja,17
arhitektuurivõistlus,20
vähemalt,250
koguma,595
kibe,28
raskus,69
laekuma,89
ühing,34
kurk,44
22,86
29,38
30.,195
heaks,167
äädikamürgistus,1
suvikõrvits,6
pea,871
280000,5
14,159
arbuus,25
söömine,152
ligi,810
300,125
toidumürgistus,2
Ujudes,1
vastuvoolu,6
Kirsti,9
Timmer,7
Facebook,425
Facebooki,268
profiilipilt,6
jõuluime,10
kirglik,32
lisama,183
kalamees,92
Vegan,15
alanud,197
september,615
Selts,5
juubelihooaeg,10
tunnustus,244
kuu,822
kalastama,4
kae,16
lugema,552
heitlik,34
oht,492
õlletoodang,1
perra,6
langema,683
märgatavalt,33
Johnny,39
Depp,33
Deppi,11
tütar,318
koristustöö,6
sirguma,64
levadialas,1
tuletama,69
sirgunud,33
iludus,15
eelmine,192
Matsalu,14
rahvuspark,63
tähtis,187
ainult,386
superkarikafinaal,2
detsember,393
Buratino,7
seiklema,78
maarjas,7
profiil,14
välismaalane,103
arvama,537
Jaapan,488
sähvatus,58
läbipaistev,35
erinäoline,2
vabadussõda,74
võidelnu,8
Coca-Cola,36
meenutama,319
sõda,229
langenu,9
latt,13
sõudja,18
kroonima,125
16.03,3
Baltimaa,134
kuldmedal,51
trend,246
Tartumaa,191
MoeP,3
Kit,19
Harington,13
stiilne,80
A,156
ebaseaduslik,84
R,25
lahkunud,113
K,37
Jon,9
lahkuma,725
Snow,11
vabadusevõtmine,1
lihtne,651
žüriiliige,4
Väike-Maarja,112
samm,322
Märt,53
kinnipidamine,26
muusikakool,42
laienema,173
stress,149
leevendama,150
Palo,81
taanduma,82
kortermaja,291
9.,188
lift,27
august,509
koolieelik,11
karikasari,70
Janika,20
Kronbergi,2
seekord,75
spordikool,57
PM,370
kujunema,119
kossupoiss,3
Seefeldis,24
kaheksa,387
49.,5
maikuu,36
käsil,8
lõpetanud,53
rekordiliselt,44
Ränkel,28
Lembit,55
rongisõitja,15
dopingujuhtum,2
linnuralli,4
ilmateenistus,156
61,20
peogalerii,33
jahutustorustik,1
prognoos,51
Sharon,5
Deja,5
Stone,11
Elva,163
aga,986
Vu,5
poseerima,58
paljarind,7
kogunema,349
lisapinge,1
kohatine,8
keskväljak,115
peal,193
saalitäis,3
lõppenud,118
jõulupuu,113
kaunitar,153
“,438
Luulekevad,3
